"years","V2","V3","V4"
2023,220,220,220
2024,219,221,214
2025,207,219,209
2026,210,216,206
2027,192,248,244
2028,199,267,259
2029,211,275,254
2030,232,275,256
2031,215,251,256
2032,216,266,248
2033,219,266,236
2034,230,258,260
2035,225,229,278
2036,223,249,285
2037,209,260,285
2038,219,265,300
2039,227,272,257
2040,200,270,286
2041,207,268,294
2042,204,246,267
2043,189,211,273
2044,183,220,271
2045,187,224,234
2046,151,231,234
2047,164,250,234
2048,178,208,216
2049,156,186,217
2050,167,178,240
2051,171,141,208
2052,146,154,187
2053,148,160,179
