"years","num_clutches","pop_size"
"1",2023,"base",37
"2",2024,"base",37.3333333333333
"3",2025,"base",37.8333333333333
"4",2026,"base",38
"5",2027,"base",37.8333333333333
"6",2028,"base",38.6666666666667
"7",2029,"base",39.6666666666667
"8",2030,"base",38.6666666666667
"9",2031,"base",39.5
"10",2032,"base",37.5
"11",2033,"base",39.1666666666667
"12",2034,"base",40.1666666666667
"13",2035,"base",41
"14",2036,"base",40.3333333333333
"15",2037,"base",40.8333333333333
"16",2038,"base",41.6666666666667
"17",2039,"base",40
"18",2040,"base",42
"19",2041,"base",43.5
"20",2042,"base",46.8333333333333
"21",2043,"base",48
"22",2044,"base",47.8333333333333
"23",2045,"base",43.6666666666667
"24",2046,"base",44.1666666666667
"25",2047,"base",42.5
"26",2048,"base",42.1666666666667
"27",2049,"base",41.1666666666667
"28",2050,"base",43.3333333333333
"29",2051,"base",43.1666666666667
"30",2052,"base",43.1666666666667
"31",2053,"base",42.8333333333333
"32",2023,"10",37
"33",2024,"10",36
"34",2025,"10",41.1666666666667
"35",2026,"10",40.3333333333333
"36",2027,"10",40.8333333333333
"37",2028,"10",38.5
"38",2029,"10",38.1666666666667
"39",2030,"10",35.3333333333333
"40",2031,"10",36.8333333333333
"41",2032,"10",34.6666666666667
"42",2033,"10",34.5
"43",2034,"10",35.1666666666667
"44",2035,"10",37.1666666666667
"45",2036,"10",39
"46",2037,"10",39.6666666666667
"47",2038,"10",39.3333333333333
"48",2039,"10",41
"49",2040,"10",39.8333333333333
"50",2041,"10",40
"51",2042,"10",36
"52",2043,"10",33
"53",2044,"10",31
"54",2045,"10",31.5
"55",2046,"10",32.1666666666667
"56",2047,"10",34.6666666666667
"57",2048,"10",37.6666666666667
"58",2049,"10",39.1666666666667
"59",2050,"10",41.1666666666667
"60",2051,"10",40.8333333333333
"61",2052,"10",36.8333333333333
"62",2053,"10",36.6666666666667
"63",2023,"15",37
"64",2024,"15",37
"65",2025,"15",37.6666666666667
"66",2026,"15",42.8333333333333
"67",2027,"15",40.5
"68",2028,"15",41.6666666666667
"69",2029,"15",43.5
"70",2030,"15",43.6666666666667
"71",2031,"15",42.8333333333333
"72",2032,"15",42.6666666666667
"73",2033,"15",39
"74",2034,"15",40
"75",2035,"15",42.8333333333333
"76",2036,"15",48
"77",2037,"15",47.6666666666667
"78",2038,"15",49.5
"79",2039,"15",49.8333333333333
"80",2040,"15",50.6666666666667
"81",2041,"15",46.5
"82",2042,"15",45.5
"83",2043,"15",43
"84",2044,"15",39.8333333333333
"85",2045,"15",39.5
"86",2046,"15",39.5
"87",2047,"15",37.8333333333333
"88",2048,"15",34.8333333333333
"89",2049,"15",35.5
"90",2050,"15",35.6666666666667
"91",2051,"15",30.1666666666667
"92",2052,"15",28.8333333333333
"93",2053,"15",29.6666666666667
"94",2023,"20",37
"95",2024,"20",39
"96",2025,"20",43.1666666666667
"97",2026,"20",44.8333333333333
"98",2027,"20",47.6666666666667
"99",2028,"20",46.6666666666667
"100",2029,"20",49.3333333333333
"101",2030,"20",48.3333333333333
"102",2031,"20",46.5
"103",2032,"20",43.8333333333333
"104",2033,"20",43.8333333333333
"105",2034,"20",42.5
"106",2035,"20",44
"107",2036,"20",44.3333333333333
"108",2037,"20",44.5
"109",2038,"20",45.8333333333333
"110",2039,"20",45.3333333333333
"111",2040,"20",45.8333333333333
"112",2041,"20",46.8333333333333
"113",2042,"20",43
"114",2043,"20",46
"115",2044,"20",47.6666666666667
"116",2045,"20",46.6666666666667
"117",2046,"20",45.8333333333333
"118",2047,"20",41.3333333333333
"119",2048,"20",38.8333333333333
"120",2049,"20",37.5
"121",2050,"20",38
"122",2051,"20",36.5
"123",2052,"20",34.1666666666667
"124",2053,"20",34.3333333333333
"125",2023,"25",37
"126",2024,"25",38.1666666666667
"127",2025,"25",42
"128",2026,"25",39.5
"129",2027,"25",42.8333333333333
"130",2028,"25",44.8333333333333
"131",2029,"25",45
"132",2030,"25",48.8333333333333
"133",2031,"25",52.8333333333333
"134",2032,"25",52.6666666666667
"135",2033,"25",52.5
"136",2034,"25",51.8333333333333
"137",2035,"25",53.1666666666667
"138",2036,"25",54.6666666666667
"139",2037,"25",57
"140",2038,"25",58.8333333333333
"141",2039,"25",57.3333333333333
"142",2040,"25",53.6666666666667
"143",2041,"25",51.6666666666667
"144",2042,"25",44.8333333333333
"145",2043,"25",43.1666666666667
"146",2044,"25",41
"147",2045,"25",40.6666666666667
"148",2046,"25",42.3333333333333
"149",2047,"25",45.1666666666667
"150",2048,"25",37.8333333333333
"151",2049,"25",39.8333333333333
"152",2050,"25",39.6666666666667
"153",2051,"25",39.3333333333333
"154",2052,"25",38.3333333333333
"155",2053,"25",40.1666666666667
"156",2023,"30",37
"157",2024,"30",38.8333333333333
"158",2025,"30",42.1666666666667
"159",2026,"30",43.3333333333333
"160",2027,"30",43.1666666666667
"161",2028,"30",45.6666666666667
"162",2029,"30",49.5
"163",2030,"30",48.5
"164",2031,"30",52.3333333333333
"165",2032,"30",52.8333333333333
"166",2033,"30",56.3333333333333
"167",2034,"30",51.8333333333333
"168",2035,"30",53.1666666666667
"169",2036,"30",52.6666666666667
"170",2037,"30",47.5
"171",2038,"30",50.5
"172",2039,"30",49.8333333333333
"173",2040,"30",50.3333333333333
"174",2041,"30",52.3333333333333
"175",2042,"30",54.1666666666667
"176",2043,"30",52
"177",2044,"30",54
"178",2045,"30",57
"179",2046,"30",58.3333333333333
"180",2047,"30",58.5
"181",2048,"30",56.5
"182",2049,"30",55.3333333333333
"183",2050,"30",56.5
"184",2051,"30",59.6666666666667
"185",2052,"30",60.8333333333333
"186",2053,"30",57
"187",2023,"35",37
"188",2024,"35",38
"189",2025,"35",39.1666666666667
"190",2026,"35",37.8333333333333
"191",2027,"35",39.3333333333333
"192",2028,"35",41
"193",2029,"35",44.5
"194",2030,"35",42.6666666666667
"195",2031,"35",46.6666666666667
"196",2032,"35",47
"197",2033,"35",51
"198",2034,"35",45
"199",2035,"35",45.1666666666667
"200",2036,"35",45.6666666666667
"201",2037,"35",44.5
"202",2038,"35",44.1666666666667
"203",2039,"35",47.3333333333333
"204",2040,"35",50.1666666666667
"205",2041,"35",48.6666666666667
"206",2042,"35",48.1666666666667
"207",2043,"35",44.3333333333333
"208",2044,"35",49.5
"209",2045,"35",47.3333333333333
"210",2046,"35",42.3333333333333
"211",2047,"35",43.1666666666667
"212",2048,"35",40.3333333333333
"213",2049,"35",42.8333333333333
"214",2050,"35",49
"215",2051,"35",46.8333333333333
"216",2052,"35",47.8333333333333
"217",2053,"35",46.6666666666667
