"years","NI.sim.out.3800.mean","NI.sim.out.3800.lcl","NI.sim.out.3800.ucl","NI.sim.out.4350.mean","NI.sim.out.4350.lcl","NI.sim.out.4350.ucl","NI.sim.out.4900.mean","NI.sim.out.4900.lcl","NI.sim.out.4900.ucl","NI.sim.out.5450.mean","NI.sim.out.5450.lcl","NI.sim.out.5450.ucl","NI.sim.out.6000.mean","NI.sim.out.6000.lcl","NI.sim.out.6000.ucl"
"1987",400,300,500,400,300,500,400,300,500,400,300,500,400,300,500
"1988",399.108280599647,284,525,399.225869135802,284,525,399.193309171076,284,525,399.168932275132,284,525,399.176237566138,284,525
"1989",398.325588007055,274,536,398.425733333333,274,536,398.32345026455,274,536,398.284404938272,274,536,398.373879365079,274,536
"1990",397.463745679012,266,545,397.603295767196,266,545,397.454079365079,266,545,397.470802116402,266,545,397.526835273369,266,545
"1991",396.654286772487,258,555,396.775829100529,258,554,396.640546031746,258,554,396.608929276896,258,554,396.678578483245,258,554
"1992",395.818672486772,251,563,395.943220987654,251,563,395.846438271605,251,562,395.795794708995,251,563,395.873719047619,251,563
"1993",394.974489594356,244,570,395.101598941799,244,570,395.005548324515,244,570,394.944829453263,244,570,395.060626102293,244,571
"1994",394.137693650794,237,578,394.284269664903,237,578,394.196249206349,237,578,394.180290828924,237,578,394.271035449735,237,578
"1995",393.321396825397,231,585,393.489958377425,231,584,393.412013051146,231,585,393.355737037037,230,585,393.480557319224,231,585
"1996",392.476407231041,224,591,392.675381305115,225,591,392.597665961199,225,591,392.570270017637,224,591,392.693367372134,225,592
"1997",391.671163844797,219,598,391.79849329806,219,598,391.819108289242,219,598,391.688552028219,219,598,391.87604638448,219,598
"1998",390.791191358025,213,604,391.007363315697,213,604,391.026709876543,213,604,390.86946366843,213,604,391.058804232804,213,604
"1999",389.983775308642,208,609,390.123534038801,207,609,390.194195238095,207,610,390.014914462081,207,610,390.234240035273,208,610
"2000",389.157040388007,202,615,389.274708465608,202,615,389.350399470899,202,615,389.134773544974,202,615,389.437275661376,202,615
"2001",388.334265784832,197,620,388.409637918871,197,621,388.507095414462,197,621,388.379784126984,197,620,388.63238994709,197,621
"2002",387.474951322751,192,625,387.564835978836,192,626,387.698460670194,192,626,387.574220282187,192,626,387.785372310406,192,626
"2003",386.659074426808,188,630,386.722011111111,188,631,386.891375485009,188,631,386.72105978836,187,630,386.936655731922,188,631
"2004",385.771101940035,183,635,385.933992063492,183,635,386.056023633157,183,636,385.890624338624,183,635,386.150052380952,183,636
"2005",384.925037566138,179,639,385.115526984127,179,640,385.265450970018,178,640,385.039705643739,178,639,385.250123633157,179,640
"2006",384.143712698413,174,644,384.265188183422,174,644,384.478019223986,174,645,384.203004761905,174,644,384.417273368607,174,645
"2007",383.320103880071,170,649,383.434409347443,170,649,383.634282716049,170,649,383.462513580247,170,648,383.630676719577,170,649
"2008",382.48904303351,166,652,382.601508112875,166,652,382.831207407407,166,654,382.650236155203,166,652,382.81778994709,166,653
"2009",381.688965608466,162,656,381.744610758377,162,657,381.955304585538,162,658,381.793762257496,162,656,381.892908818342,162,657
"2010",380.850944091711,158,661,380.980284126984,159,661,381.073753791887,159,661,380.9846335097,158,660,381.091101940035,159,661
"2011",380.012558201058,155,664,380.174079012346,155,664,380.205991534392,155,665,380.170304232804,155,664,380.295660846561,155,664
"2012",379.149862433862,151,667,379.36268042328,152,668,379.405611463845,151,669,379.310485714286,151,668,379.480746560847,152,668
"2013",378.276552380952,148,671,378.552688536155,148,672,378.555767724868,148,672,378.513883950617,148,671,378.620918694885,148,672
"2014",377.418235978836,144,674,377.719906525573,145,675,377.678902998236,144,676,377.655431746032,144,675,377.865171604938,145,675
"2015",376.642197707231,141,678,376.899166137566,141,678,376.852802998236,141,679,376.784929805996,141,678,377.098334920635,141,679
"2016",375.776342857143,138,681,376.159658201058,138,682,376.036902469136,138,682,376.080550793651,138,682,376.280488007055,138,682
"2017",374.898918694885,135,684,375.302580070547,135,685,375.167774250441,135,685,375.191805291005,135,685,375.428016402116,135,685
