"years","ROI_B2_mean","ROI_B2_LCL","ROI_B2_UCL"
2023,110,110,110
2024,110.833333333333,107.6,115.2
2025,110.666666666667,106.8,114.8
2026,107.166666666667,100.9,114.5
2027,106.333333333333,99.3,114.9
2028,103.166666666667,95,110.6
2029,104.833333333333,96.6,115.4
2030,106.166666666667,99.1,114.3
2031,109.666666666667,99.9,121.9
2032,119.833333333333,101.2,141.6
2033,121.333333333333,99.9,147.5
2034,127.833333333333,102.6,158.2
2035,133.833333333333,109.2,165.6
2036,140.666666666667,120.1,163.7
2037,133.833333333333,109.5,159.1
2038,130,109.9,155.1
2039,126.166666666667,104,151.6
2040,124.833333333333,107.1,145.5
2041,128.166666666667,109.2,149.6
2042,134.666666666667,104.2,161.8
2043,132.166666666667,95.6,170.4
2044,127,92.8,162.4
2045,126.333333333333,85.7,165.3
2046,128.666666666667,87.9,165.1
2047,141.166666666667,99.5,178.7
2048,141.166666666667,100.3,177.1
2049,146.666666666667,104.3,186.3
2050,145.166666666667,100.1,188.1
2051,141.833333333333,96.8,182.8
2052,145.166666666667,93.9,192.3
2053,156,100.4,210.8
