"A1","A2","A3","A4","years"
150,150,150,150,2023
152.39625,152.333333333333,153.333333333333,149.5,2024
150.242416666667,159.333333333333,161.833333333333,151.333333333333,2025
147.892416666667,161,174.666666666667,152.333333333333,2026
147.800333333333,165.833333333333,165.333333333333,149.333333333333,2027
147.57925,176.666666666667,171.666666666667,142.666666666667,2028
147.917666666667,179,173.666666666667,141,2029
145.906333333333,176.833333333333,188.5,129,2030
146.778333333333,181.166666666667,188.333333333333,121.666666666667,2031
148.901416666667,191.5,199.333333333333,114.166666666667,2032
141.030833333333,202.833333333333,197.5,117.333333333333,2033
139.581,201.166666666667,191.833333333333,123.833333333333,2034
140.227333333333,213,196.333333333333,124.833333333333,2035
138.262833333333,210.333333333333,192.333333333333,118.166666666667,2036
136.614666666667,221.666666666667,206.5,115.5,2037
144.3175,222.333333333333,190.833333333333,112.833333333333,2038
148.418666666667,221.333333333333,186.833333333333,114.833333333333,2039
156.951666666667,221.833333333333,187.666666666667,114.333333333333,2040
151.633333333333,207.666666666667,185.833333333333,116,2041
156.594666666667,200.166666666667,187.666666666667,115,2042
153.978666666667,195.166666666667,181,117.666666666667,2043
150.753083333333,180,175,106.833333333333,2044
151.551,178.333333333333,163.333333333333,112.333333333333,2045
159.356,179.333333333333,159.166666666667,114.666666666667,2046
165.373,173.666666666667,159.166666666667,112.5,2047
155.742916666667,179.333333333333,165.5,113.333333333333,2048
157.574416666667,168.166666666667,171.666666666667,112.833333333333,2049
163.219416666667,171,169.5,112.5,2050
163.728666666667,167.5,163.5,106,2051
166.5195,166.166666666667,173.833333333333,108.666666666667,2052
167.553833333333,167.166666666667,164.833333333333,108.166666666667,2053
