"Mean_Pop_Size","LCL","UCL","Years"
150,150,150,2023
150.137375,137,164,2024
149.337875,131,169,2025
148.5755,125.5,171.55,2026
147.589375,122,175,2027
147.3835,118.95,178.6,2028
146.39225,116.5,179.55,2029
146.34075,113,183,2030
146.104375,109.95,186.55,2031
145.499625,107,185.5,2032
144.727125,104,186.55,2033
144.1745,102.45,187.55,2034
143.834375,99,189.5,2035
143.7875,98.9,192,2036
142.811625,97.45,192.5,2037
142.5145,95,192.1,2038
142.379375,93.5,194.5,2039
141.775375,90.5,196.55,2040
141.21,87,199.05,2041
141.06475,85,200,2042
140.659,85.45,200,2043
140.2,81.95,201.55,2044
139.9805,82.9,202.55,2045
138.466,79.45,200,2046
137.868125,77.5,201.55,2047
136.7525,76.5,204.55,2048
136.8775,75.5,205,2049
136.179375,73.5,206.5,2050
135.410375,72.5,203.5,2051
135.081,72.5,203.5,2052
134.592875,71,205.5,2053
